14259,106062,42996,pv,1511800929
13743,93761,55984,pv,1511800939
14766,106062,55984,pv,1511800949
14259,61700,15905,pv,1511800959
14241,101801,55984,pv,1511800969
11873,101801,32366,pv,1511800979
17142,35171,42996,pv,1511800989
11338,48721,55984,pv,1511800999
12595,48721,32366,pv,1511801009
14752,52100,55984,pv,1511801019
14752,48721,15905,pv,1511801029
18542,93298,32366,pv,1511801039
17939,30268,15905,pv,1511801049
11873,77598,23208,pv,1511801059
11252,48721,42996,pv,1511801069
11989,77598,15905,pv,1511801079
14766,61700,23208,pv,1511801089
13323,52100,55984,pv,1511801099
15439,101801,32366,pv,1511801109
17675,48721,15905,pv,1511801119
10458,30268,32366,pv,1511801129
16881,35171,55984,pv,1511801139
10836,52100,42996,pv,1511801149
11367,35171,55984,pv,1511801159
11873,48721,42996,pv,1511801169
11873,101801,55984,pv,1511801179
10688,93298,42996,pv,1511801189
16881,77598,32366,pv,1511801199
13743,77598,42996,pv,1511801209
16241,35171,15905,pv,1511801219
17416,35171,55984,pv,1511801229
11126,77598,23208,pv,1511801239
16572,35171,55984,pv,1511801249
14319,101801,32366,pv,1511801259
18290,30268,15905,pv,1511801269
13667,93761,42996,pv,1511801279
18903,93761,55984,pv,1511801289
18154,101801,23208,pv,1511801299
15672,101801,32366,pv,1511801309
13304,48721,15905,pv,1511801319
17439,101801,15905,pv,1511801329
18154,93298,55984,pv,1511801339
10128,77598,15905,pv,1511801349
11989,93298,15905,pv,1511801359
14752,35171,32366,pv,1511801369
17675,106062,23208,pv,1511801379
17797,93761,15905,pv,1511801389
14224,93761,42996,pv,1511801399
11126,77598,23208,pv,1511801409
14725,48721,55984,pv,1511801419
10128,93761,15905,pv,1511801429
13323,93761,55984,pv,1511801439
15420,77598,32366,pv,1511801449
11387,61700,55984,pv,1511801459
14319,93298,42996,pv,1511801469
19614,101801,55984,pv,1511801479
17439,48721,15905,pv,1511801489
18542,93761,55984,pv,1511801499
12548,77598,55984,pv,1511801509
13706,101801,42996,pv,1511801519
11201,61700,23208,pv,1511801529
10916,101801,15905,pv,1511801539
16174,93761,32366,pv,1511801549
11833,30268,55984,pv,1511801559
18542,93761,23208,pv,1511801569
18542,52100,55984,pv,1511801579
11989,77598,42996,pv,1511801589
17797,93298,42996,pv,1511801599
16943,48721,23208,pv,1511801609
12781,48721,15905,pv,1511801619
11201,77598,23208,pv,1511801629
11387,35171,32366,pv,1511801639
14258,48721,55984,pv,1511801649
10128,48721,55984,pv,1511801659
15439,93298,42996,pv,1511801669
11074,52100,42996,pv,1511801679
18542,93298,42996,pv,1511801689
13354,30268,55984,pv,1511801699
19614,93761,42996,pv,1511801709
10458,61700,15905,pv,1511801719
18542,106062,55984,pv,1511801729
12548,52100,23208,pv,1511801739
19719,35171,23208,pv,1511801749
13323,77598,15905,pv,1511801759
18591,101801,23208,pv,1511801769
14258,93298,55984,pv,1511801779
11368,101801,32366,pv,1511801789
10198,77598,15905,pv,1511801799
17675,30268,55984,pv,1511801809
10836,30268,32366,pv,1511801819
15420,106062,55984,pv,1511801829
14766,30268,23208,pv,1511801839
16943,48721,42996,pv,1511801849
18903,61700,23208,pv,1511801859
14259,93298,15905,pv,1511801869
11873,52100,15905,pv,1511801879
11833,93761,32366,pv,1511801889
12548,52100,42996,pv,1511801899
12852,77598,23208,pv,1511801909
18542,77598,32366,pv,1511801919
10808,52100,23208,pv,1511801929
18542,106062,23208,pv,1511801939
10458,106062,42996,pv,1511801949
11989,61700,32366,pv,1511801959
10916,48721,55984,pv,1511801969
10458,35171,32366,pv,1511801979
19614,101801,15905,pv,1511801989
11387,93298,23208,pv,1511801999
11833,30268,15905,pv,1511802009
10198,93298,55984,pv,1511802019
11368,93298,42996,pv,1511802029
13667,106062,55984,pv,1511802039
11074,48721,15905,pv,1511802049
13735,101801,32366,pv,1511802059
19357,52100,15905,pv,1511802069
11074,30268,23208,pv,1511802079
17728,93761,15905,pv,1511802089
12209,52100,42996,pv,1511802099
12548,93761,55984,pv,1511802109
19719,77598,23208,pv,1511802119
18591,106062,55984,pv,1511802129
19357,93761,32366,pv,1511802139
17290,106062,42996,pv,1511802149
11368,48721,23208,pv,1511802159
12548,30268,32366,pv,1511802169
12432,30268,32366,pv,1511802179
11873,52100,32366,pv,1511802189
11126,52100,55984,pv,1511802199
12548,35171,32366,pv,1511802209
11201,30268,23208,pv,1511802219
10128,30268,55984,pv,1511802229
18542,30268,42996,pv,1511802239
12548,35171,15905,pv,1511802249
16943,106062,32366,pv,1511802259
15420,77598,32366,pv,1511802269
14258,77598,55984,pv,1511802279
14258,30268,32366,pv,1511802289
12209,93761,32366,pv,1511802299
18542,52100,55984,pv,1511802309
14665,52100,42996,pv,1511802319
11833,101801,15905,pv,1511802329
16881,35171,23208,pv,1511802339
16426,101801,55984,pv,1511802349
11403,77598,23208,pv,1511802359
13690,77598,55984,pv,1511802369
11367,106062,32366,pv,1511802379
14996,101801,23208,pv,1511802389
13999,101801,42996,pv,1511802399
18591,30268,42996,pv,1511802409
15626,61700,55984,pv,1511802419
15672,93298,55984,pv,1511802429
14259,93761,32366,pv,1511802439
16881,52100,32366,pv,1511802449
14725,52100,42996,pv,1511802459
13304,106062,23208,pv,1511802469
11201,35171,42996,pv,1511802479
18803,93298,32366,pv,1511802489
10836,77598,32366,pv,1511802499
17675,93298,15905,pv,1511802509
17939,106062,55984,pv,1511802519
12781,61700,55984,pv,1511802529
15425,52100,15905,pv,1511802539
11989,106062,42996,pv,1511802549
15578,30268,42996,pv,1511802559
12595,30268,32366,pv,1511802569
11989,93761,23208,pv,1511802579
17290,48721,15905,pv,1511802589
15439,61700,15905,pv,1511802599
11989,106062,32366,pv,1511802609
19357,48721,23208,pv,1511802619
19719,93298,23208,pv,1511802629
17777,35171,32366,pv,1511802639
14766,61700,42996,pv,1511802649
18591,93761,42996,pv,1511802659
11126,35171,42996,pv,1511802669
17290,61700,15905,pv,1511802679
10916,77598,42996,pv,1511802689
14259,35171,15905,pv,1511802699
11989,52100,42996,pv,1511802709
14978,35171,32366,pv,1511802719
10458,61700,55984,pv,1511802729
14258,77598,55984,pv,1511802739
17897,101801,32366,pv,1511802749
15439,93298,23208,pv,1511802759
18586,106062,42996,pv,1511802769
14258,35171,55984,pv,1511802779
12781,106062,42996,pv,1511802789
13354,52100,32366,pv,1511802799
12046,93761,23208,pv,1511802809
17897,30268,32366,pv,1511802819
16881,35171,23208,pv,1511802829
10906,106062,23208,pv,1511802839
11989,61700,23208,pv,1511802849
13304,61700,23208,pv,1511802859
18542,52100,42996,pv,1511802869
18290,30268,42996,pv,1511802879
11368,30268,23208,pv,1511802889
17439,93298,32366,pv,1511802899
18803,93298,32366,pv,1511802909
13323,48721,42996,pv,1511802919
15874,77598,32366,pv,1511802929
18542,106062,32366,pv,1511802939
14575,52100,23208,pv,1511802949
18154,35171,55984,pv,1511802959
18290,106062,23208,pv,1511802969
17416,48721,15905,pv,1511802979
11201,77598,42996,pv,1511802989
